0;112;0
1;112;3
0;77;0
0;112;0
3;9;1
0;5;6
0;0;0
0;1;1
0;2;3
0;3;2
0;11;3
0;1;1
0;2;8
0;12;1
0;13;7
1;4;3
0;2;7
1;1500;0
1;1409;5
1;1409;0
0;1409;8
1;1409;0
1;1408;2
1;1408;2
0;0;8
0;1;1
0;2;8
0;4;1
0;5;3
0;6;3
0;7;0
0;8;1
0;9;5
0;10;4
0;11;6
0;12;4
0;13;3
0;14;6
0;15;4
0;16;4
0;19;2
0;20;3
0;21;2
0;22;4
0;23;5
0;24;9
0;25;1
0;27;6
0;28;2
0;29;2
0;30;6
0;31;2
0;32;4
0;33;2
0;34;2
0;37;8
0;38;5
0;39;8
0;40;0
0;41;7
0;42;4
0;43;4
0;44;4
0;50;7
0;51;9
0;52;7
0;53;6
0;54;9
0;55;3
0;57;1
0;58;4
0;60;8
0;61;8
0;63;6
0;65;5
0;66;8
0;67;7
0;69;4
0;70;3
0;71;3
0;72;4
0;73;2
0;74;2
0;76;3
0;77;1
0;78;3
0;79;4
0;80;3
0;81;6
0;82;4
0;83;4
0;84;4
0;85;8
0;86;4
0;87;8
0;88;2
0;89;0
0;91;7
0;92;5
0;95;8
0;96;4
0;98;9
0;99;8
0;106;8
0;109;7
0;110;9
0;112;2
0;113;1
0;114;1
0;116;8
0;118;4
0;123;3
0;124;3
0;125;2
0;126;3
0;127;9
0;128;4
0;129;8
0;130;9
0;132;2
0;134;8
0;135;8
0;138;9
0;141;2
0;142;1
0;143;4
0;145;9
0;147;7
0;148;8
0;150;1
1;1408;2
0;0;8
0;1;1
0;2;8
0;4;1
0;5;3
0;6;3
0;7;0
0;8;1
0;9;5
0;10;4
0;11;6
0;12;4
0;13;3
0;14;6
0;15;4
